"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
1,0.744703637767849,0,0.629935953755844,0,0,0.60698980398921,0,0.181553848687457,0,0.527649870214361,0,0,0,0,0,0,0,0,0.222911654092034,0.610018536771327,0.145805343831112,0,0.664333558973277,0.648821193997606,0.638048368515411,0,0,0.199089825042587,0,0.134356817949792,0,0.764260833532978,0,0.780006230337541,0,0.557596190522844,0.218485257405238,0.29203714902033,0,0.693521832403404,0.767171318830169,0,0,0,0,0,0,0,0
0.744703637767796,1,0,0.569057695411304,0,0,0.524431461189904,0,0.154698555434295,0,0.452484469676792,0.144627610120494,0,0,0,0,0,0,0,0.202419083848714,0.602655737751503,0.14606548829237,0,0.623660253714863,0.603983719181737,0.616186401841435,0,0,0.219554012551322,0,0.151308852054404,0,0.713448711762693,0,0.76567050461791,0,0.573790816568492,0.234540762187892,0.270879578267604,0,0.674756364707877,0.728712778173329,0,0,0,0,0,0,0,0
0,0,1,0,0.307165808879168,0,0,0.216739741530816,0,0,0,0,0.235087405069014,0.213193758126014,0,0,0,0.262006021151407,0,0,0,0,0.269626180474959,0,0,0,0,0,0,0.331729003928935,0,0,0,0,0,0,0,0,0,0.266558097175495,0,0,0.23866744240223,0.246325120911928,0,0.275896906609895,0.214548472587709,0,0.237114547877908,0
0.62993595375582,0.569057695411322,0,1,0,0,0.459915221421151,0,0,0,0.427462801174192,0,0,0,0,0,0,0,0,0.201763359912443,0.497403334495027,0,0,0.519904599766397,0.497842946791419,0.492510204048883,0,0,0,0,0,0,0.582265309822736,0,0.599042494029428,0,0.460952716072277,0,0.201234808123314,0,0.578410215617923,0.617879455515519,0,0,0,0,0,0,0,0
0,0,0.3071658088792,0,1,0.249706246698767,0,0.507954023806466,0,0.479029469867129,0,0,0.658864890252199,0.632395755013505,0.145712720512638,0.257182926210984,0,0.652328418394867,0.569418962553283,0,0,0,0.775461912760294,0,0,0,0,0,0,0.801357534071423,0,0.32357719873497,0,0,0,0.112255017311196,0,0,0,0.779348363887965,0,0,0.523426311396217,0.605223669902131,0.182169395438236,0.760188854534211,0.581361972137124,0,0.599037820161097,0
0,0,0,0,0.249706246698778,1,0,0,0,0,0,0,0.247913087744843,0.233000276997562,0,0,0,0.224328955220175,0,0,0,0,0.272537163699173,0,0,0,0,0,0,0.227091660792397,0,0.157315598291551,0,0,0,0,0,0,0,0.239795077628482,0,0,0,0.201679186948276,0,0.237238337384167,0,0,0.216717461969507,0
0.606989803989167,0.524431461189903,0,0.459915221421136,0,0,1,0,0,0,0.3851096681556,0,0,0,0,0,0,0,0,0,0.503397668773904,0,0,0.486395774690682,0.47700854267996,0.463733581714606,0,0,0,0,0,0,0.56390764905778,0,0.580728028099056,0,0.437837283478875,0,0.2084679191638,0,0.54656716877511,0.594207357956308,0,0,0,0,0,0,0,0
0,0,0.216739741530827,0,0.507954023806443,0,0,1,0,0.318890957865151,0,0,0.383229027786093,0.334822909747534,0,0,0,0.408176912987977,0.312506676814998,0,0,0,0.483380623063018,0,0,0,0,0,0,0.483940914497972,0,0,0,0,0,0,0,0,0,0.478042036191842,0,0,0.310060688824356,0.381902988528585,0,0.457208629119581,0.345014391997446,0,0.298368055330677,0
0.181553848687418,0.154698555434268,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169852148836061,0,0.202608002776264,0,0,0,0,0,0.172406468253205,0.199345962717854,0,0,0,0,0,0,0,0
0,0,0,0,0.479029469867155,0,0,0.318890957865177,0,1,0,0,0.41435718159404,0.416553500056196,0,0,0,0.374647933059208,0.338329741824575,0,0,0,0.467811801203054,0,0,0,0,0,0,0.484918129198971,0,0,0,0,0,0,0,0,0,0.466275634099802,0,0,0.297410120423661,0.389666366900022,0,0.475378667319796,0.357383095237745,0,0.366656480877289,0
0.52764987021436,0.452484469676826,0,0.42746280117421,0,0,0.385109668155629,0,0,0,1,0,0,0,0,0,0,0,0,0,0.404028420518467,0,0,0.423795299674074,0.405499521646061,0.377866290885862,0,0,0,0,0,0,0.477276365430551,0,0.48385124835525,0,0.315500748243244,0,0,0,0.458404666745401,0.519056250704563,0,0,0,0,0,0,0,0
0,0.144627610120495,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158327783816202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.235087405069044,0,0.658864890252206,0.247913087744837,0,0.383229027786116,0,0.414357181594025,0,0,1,0.546540828478745,0,0.228384267185512,0,0.544135065993098,0.475186228290485,0,0,0,0.647668125421847,0,0,0,0,0,0,0.642249417369161,0,0.30733364921275,0,0,0,0,0,0,0,0.6297810609769,0,0,0.436343968552599,0.536391790954052,0.197554090784275,0.623640897863599,0.450589945688609,0,0.499996815888838,0
0,0,0.213193758126034,0,0.632395755013492,0.233000276997547,0,0.334822909747544,0,0.416553500056169,0,0,0.546540828478727,1,0,0.25958214133799,0,0.533180046857598,0.430022245428425,0,0,0,0.619343121176385,0,0,0,0,0,0,0.578115139832675,0,0.324237093678972,0,0,0,0,0,0,0,0.592722323693725,0,0,0.411946144577329,0.471974310101124,0,0.563704115167253,0.40080677069544,0,0.488909821192496,0
0,0,0,0,0.14571272051266,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.150986496514294,0,0,0,0,0,0,0.12799279175525,0,0,0,0,0,0,0,0,0,0.155777382592957,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.257182926211022,0,0,0,0,0,0,0,0.228384267185542,0.259582141338026,0,1,0,0.208759470513358,0,0,0,0,0.248382622915114,0,0,0,0,0,0,0.246658683199413,0,0,0,0,0,0,0,0,0,0.263005264963966,0,0,0,0.189905626157641,0,0.27009407094331,0.213360738456186,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.26200602115144,0,0.652328418394888,0.224328955220171,0,0.408176912988005,0,0.3746479330592,0,0,0.544135065993108,0.533180046857626,0,0.208759470513333,0,1,0.467195123685907,0,0,0,0.609208692160675,0,0,0,0,0,0,0.638980861131711,0,0.260558450427753,0,0,0,0,0,0,0,0.618672415282177,0,0,0.414868657833291,0.476189047063889,0,0.613791615836831,0.474257882174125,0,0.483549098894152,0
0,0,0,0,0.569418962553272,0,0,0.312506676815005,0,0.338329741824551,0,0,0.475186228290471,0.430022245428426,0,0,0,0.467195123685884,1,0,0,0,0.543214494895685,0,0,0,0,0,0,0.527503996928052,0,0.265462835481531,0,0,0,0,0,0,0,0.540716704900182,0,0,0.359058512320061,0.415063575446148,0,0.514277298930678,0.368467888514741,0,0.393817409168677,0
0.222911654092063,0.202419083848755,0,0.201763359912471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.172699148300962,0.1804386482828,0,0,0,0,0,0,0,0.198330249778089,0,0.198833480515373,0,0,0,0,0,0.183582861229669,0.196879325889323,0,0,0,0,0,0,0,0
0.610018536771332,0.602655737751549,0,0.497403334495049,0,0,0.503397668773942,0,0,0,0.404028420518468,0,0,0,0,0,0,0,0,0,1,0,0,0.539792411634471,0.503488000253914,0.525909724883449,0,0,0.182868325528393,0,0,0,0.624735741790973,0,0.654369597747102,0,0.448986175933203,0.203774836199646,0.24049497927272,0,0.550550718522342,0.614892068355319,0,0,0,0,0,0,0,0
0.145805343831133,0.146065488292398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.128303567627048,0,0,0,0,0,0,0.151130638870842,0,0,0,0,0,0,0,0
0,0,0.269626180474996,0,0.775461912760312,0.272537163699168,0,0.483380623063047,0,0.467811801203041,0,0,0.647668125421853,0.619343121176413,0.150986496514275,0.248382622915082,0,0.60920869216067,0.543214494895707,0,0,0,1,0,0,0,0,0,0,0.743291932677161,0,0.338525632988,0,0,0,0,0,0,0,0.744541638380287,0,0,0.476718959531583,0.587950670464153,0.215230260465726,0.710758872714241,0.534946256158509,0,0.612770670050261,0
0.664333558973266,0.623660253714895,0,0.519904599766409,0,0,0.486395774690709,0,0,0,0.423795299674066,0,0,0,0,0,0,0,0,0.172699148300935,0.539792411634458,0,0,1,0.528297285123481,0.561679995292569,0,0,0.179009808428295,0,0,0,0.621181385693659,0,0.656928049735812,0,0.502271263257695,0.186148187672524,0.22808194504495,0,0.59389306566276,0.637556652968484,0,0,0,0,0,0,0,0
0.648821193997574,0.603983719181749,0,0.497842946791414,0,0,0.477008542679971,0,0,0,0.405499521646041,0,0,0,0,0,0,0,0,0.180438648282769,0.503488000253885,0,0,0.528297285123464,1,0.524659696052641,0,0,0.177865786109981,0,0,0,0.610071463000667,0,0.649031038837656,0,0.494295001507379,0.1878584129951,0.226957901045181,0,0.594914721481351,0.633097485138412,0,0,0,0,0,0,0,0
0.638048368515366,0.616186401841436,0,0.492510204048868,0,0,0.463733581714607,0,0,0,0.377866290885834,0,0,0,0,0,0,0,0,0,0.525909724883409,0,0,0.561679995292541,0.524659696052631,1,0,0,0.19756600645158,0,0,0,0.62412096762197,0,0.687078035956495,0,0.509330411326257,0.198036742409259,0.245932604654478,0,0.591051882329247,0.634087020751477,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.199089825042556,0.219554012551308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182868325528367,0,0,0.179009808428272,0.177865786109965,0.197566006451567,0,0,1,0,0,0,0.21206859054335,0,0.232878731776258,0,0,0,0,0,0.183048033826521,0.180875423635235,0,0,0,0,0,0,0,0
0,0,0.331729003928959,0,0.801357534071403,0.227091660792379,0,0.483940914497979,0,0.484918129198936,0,0,0.642249417369136,0.578115139832673,0.127992791755224,0.24665868319937,0,0.638980861131676,0.52750399692805,0,0,0,0.743291932677127,0,0,0,0,0,0,1,0,0.322826160259353,0,0,0,0,0,0,0,0.749876886513275,0,0,0.510017340762578,0.601973457026823,0.160186850962016,0.745884896195258,0.573934303890707,0,0.53497764554291,0
